Basic Parameters: 2024-09-21_15-38-53 model=cifar10-defended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 85.30%
450: attack success rate=93.1%, average queries=67.4, median queries=20.0
451: attack success rate=93.1%, average queries=67.4, median queries=20.0
452: attack success rate=93.1%, average queries=67.4, median queries=20.0
453: attack success rate=93.1%, average queries=67.4, median queries=20.0
454: attack success rate=93.1%, average queries=67.4, median queries=20.0
455: attack success rate=93.1%, average queries=67.4, median queries=20.0
456: attack success rate=93.1%, average queries=67.4, median queries=20.0
457: attack success rate=93.1%, average queries=67.4, median queries=20.0
458: attack success rate=93.1%, average queries=67.4, median queries=20.0
459: attack success rate=93.1%, average queries=67.4, median queries=20.0
460: attack success rate=93.1%, average queries=67.4, median queries=20.0
461: attack success rate=93.1%, average queries=67.4, median queries=20.0
462: attack success rate=93.1%, average queries=67.4, median queries=20.0
463: attack success rate=93.1%, average queries=67.4, median queries=20.0
464: attack success rate=93.1%, average queries=67.4, median queries=20.0
