Basic Parameters: 2024-09-22_15-27-05 model=imagenet_inception dataset=imagenet n_ex=1000 eps=5.0 p=0.103 n_iter=10000
Clean accuracy: 76.10%
425: attack success rate=52.4%, average queries=129.3, median queries=92.5
426: attack success rate=52.5%, average queries=129.9, median queries=93.0
427: attack success rate=52.6%, average queries=130.4, median queries=93.0
428: attack success rate=52.7%, average queries=131.0, median queries=93.0
429: attack success rate=52.7%, average queries=131.0, median queries=93.0
430: attack success rate=52.8%, average queries=131.6, median queries=93.0
431: attack success rate=53.0%, average queries=132.7, median queries=93.0
432: attack success rate=53.0%, average queries=132.7, median queries=93.0
433: attack success rate=53.0%, average queries=132.7, median queries=93.0
434: attack success rate=53.0%, average queries=132.7, median queries=93.0
435: attack success rate=53.0%, average queries=132.7, median queries=93.0
436: attack success rate=53.0%, average queries=132.7, median queries=93.0
437: attack success rate=53.0%, average queries=132.7, median queries=93.0
438: attack success rate=53.1%, average queries=133.3, median queries=93.0
439: attack success rate=53.1%, average queries=133.3, median queries=93.0
440: attack success rate=53.1%, average queries=133.3, median queries=93.0
441: attack success rate=53.1%, average queries=133.3, median queries=93.0
442: attack success rate=53.1%, average queries=133.3, median queries=93.0
443: attack success rate=53.1%, average queries=133.3, median queries=93.0
444: attack success rate=53.2%, average queries=133.9, median queries=94.0
445: attack success rate=53.2%, average queries=133.9, median queries=94.0
446: attack success rate=53.2%, average queries=133.9, median queries=94.0
447: attack success rate=53.2%, average queries=133.9, median queries=94.0
448: attack success rate=53.2%, average queries=133.9, median queries=94.0
449: attack success rate=53.2%, average queries=133.9, median queries=94.0
450: attack success rate=53.5%, average queries=135.6, median queries=96.0
451: attack success rate=53.6%, average queries=136.2, median queries=97.0
452: attack success rate=53.7%, average queries=136.8, median queries=98.0
453: attack success rate=53.7%, average queries=136.8, median queries=98.0
454: attack success rate=53.8%, average queries=137.4, median queries=98.5
455: attack success rate=53.8%, average queries=137.4, median queries=98.5
456: attack success rate=53.9%, average queries=138.0, median queries=99.0
457: attack success rate=53.9%, average queries=138.0, median queries=99.0
458: attack success rate=54.0%, average queries=138.6, median queries=99.0
459: attack success rate=54.0%, average queries=138.6, median queries=99.0
